Timestamp,1. Department (বিভাগ),2. Which academic year are you currently in?(আপনি বর্তমানে কোন শিক্ষাবর্ষে অধ্যয়ন করছেন?),3. Which digital device do you use most frequently?(আপনি কোন ডিজিটাল ডিভাইসটি সবচেয়ে বেশি ব্যবহার করেন?),4. How many hours per day do you use digital devices?(প্রতিদিন আপনি কত ঘণ্টা ডিজিটাল ডিভাইস ব্যবহার করেন?),5. How many hours per day do you use digital devices for academic activities?(প্রতিদিন একাডেমিক কার্যক্রমের জন্য আপনি কত ঘণ্টা ডিজিটাল ডিভাইস ব্যবহার করেন?),6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Social Media],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Messaging],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [YouTube / Video Streaming],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Gaming],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Browsing / News],7. How often do you use generative AI tools(Claude/ChatGPT etc.) for academic purposes? (আপনি একাডেমিক বা পড়াশোনার কাজে কত ঘন ঘন Generative AI টুল ব্যবহার করেন?),8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Understanding Theory/Lab Lecture],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Writing Lab or Other Reports],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Exam Preparation],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Understanding Research Papers],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Presentation Preparation],9. I engage in other digital activities while doing academic activities.(একাডেমিক কার্যক্রমের সময় আমি অন্যান্য ডিজিটাল কার্যক্রমে যুক্ত থাকি।),10. Notifications interrupt my concentration during academic activities(একাডেমিক কার্যক্রমের সময় নোটিফিকেশন আমার মনোযোগে বিঘ্ন ঘটায়),11. I check my devices without a specific reason during academic activities.(একাডেমিক কার্যক্রমের সময় কোনো নির্দিষ্ট কারণ ছাড়াই আমি আমার ডিভাইস দেখি।),12. I switch to digital entertainment while doing academic activities.(একাডেমিক কার্যক্রমের সময় আমি ডিজিটাল বিনোদনের দিকে চলে যাই।),13. I use digital devices longer than I intended.(আমি ইচ্ছার চেয়ে বেশি সময় ডিজিটাল ডিভাইস ব্যবহার করি।),14. I find it difficult to stop using digital devices.(ডিজিটাল ডিভাইস ব্যবহার বন্ধ করা আমার জন্য কঠিন।),15. The use of digital devices shortly before sleep reduces total sleep duration. (ঘুমানোর ঠিক আগে ডিজিটাল ডিভাইসের ব্যবহার মোট ঘুমের সময় কমিয়ে দেয়।),16. What time do you usually go to sleep at night?(আপনি সাধারণত রাতে কখন ঘুমাতে যান?),17. What time do you usually wake up in the morning?(আপনি সাধারণত সকালে কখন ঘুম থেকে ওঠেন?),"18. Do you usually have a second sleep period during the day or at another time?
(আপনি কি সাধারণত দিনে বা অন্য কোনো সময় দ্বিতীয়বার ঘুমান?)","19. If Yes, What time does your second sleep usually start?(হ্যাঁ হলে, আপনার দ্বিতীয়বার ঘুমানো সাধারণত কখন শুরু হয়?","20. If Yes, What time do you usually wake up from your second sleep?(হ্যাঁ হলে, দ্বিতীয়বার ঘুমানোর পর আপনি সাধারণত কখন ঘুম থেকে ওঠেন?)",21. What is your current CGPA?(আপনার বর্তমান CGPA কত?)
8/25/2026 13:11:08,ME,4th Year,Laptop,5 - 8 hours,Less than 1 hour,4,2,2,4,2,4,4,2,3-Moderately,3-Moderately,4,4,3,4,2,3,2,3,12AM-1AM,7AM-8AM,Yes,5:15:00 PM,7:00:00 PM,3.25–3.49
8/25/2026 13:31:15,CE,2nd Year,Laptop,5 - 8 hours,4 - 6 hours,3-Moderate Time,3-Moderate Time,3-Moderate Time,2,3-Moderate Time,4,4,4,4,3-Moderately,4,3,4,3,2,3,3,2,12AM-1AM,After 8AM,Yes,5:30:00 PM,6:45:00 PM,3.25–3.49
8/25/2026 13:31:44,ECE,4th Year,Laptop,Less than 2 hour,2 - 4 hours,5-Most Time,2,4,3-Moderate Time,2,5,2,4,3-Moderately,3-Moderately,2,3,3,3,3,3,2,5,10PM-11PM,5AM-6AM,No,,,3.50–3.74
8/25/2026 13:32:29,ME,4th Year,Laptop,More than  8 hours,4 - 6 hours,3-Moderate Time,3-Moderate Time,4,1-Minimum Time,2,4,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,5-Mostly Dependent on AI,2,4,5,4,4,3,3,11PM-12AM,7AM-8AM,Yes,4:30:00 PM,5:30:00 PM,3.25–3.49
8/25/2026 13:38:01,CSE,2nd Year,Laptop,5 - 8 hours,More than 7 hours,1-Minimum Time,2,4,2,3-Moderate Time,3,4,4,3-Moderately,2,3-Moderately,3,4,1,3,2,4,4,11PM-12AM,6AM-7AM,No,,,3.25–3.49
8/25/2026 13:40:43,IEM,3rd Year,Laptop,5 - 8 hours,4 - 6 hours,2,2,3-Moderate Time,4,4,4,3-Moderately,5-Mostly Dependent on AI,3-Moderately,3-Moderately,3-Moderately,4,2,3,3,4,5,4,After 1AM,7AM-8AM,Yes,4:30:00 PM,6:15:00 PM,Below 3.00
8/25/2026 13:46:15,ECE,1st Year,Laptop,More than  8 hours,2 - 4 hours,5-Most Time,2,4,3-Moderate Time,2,5,4,4,4,2,3-Moderately,4,5,5,3,3,4,3,After 1AM,After 8AM,Yes,3:45:00 PM,5:15:00 PM,Below 3.00
8/25/2026 13:47:30,CSE,4th Year,Laptop,2 - 5 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,4,2,2,3,2,3-Moderately,2,3-Moderately,3-Moderately,3,2,1,4,3,3,3,12AM-1AM,7AM-8AM,Yes,3:00:00 PM,4:15:00 PM,3.25–3.49
8/25/2026 13:52:38,CSE,2nd Year,Laptop,2 - 5 hours,Less than 1 hour,2,3-Moderate Time,4,5-Most Time,1-Minimum Time,3,3-Moderately,4,4,2,4,3,4,4,4,5,5,5,After 1AM,7AM-8AM,Yes,5:15:00 PM,6:45:00 PM,Below 3.00
8/25/2026 13:57:25,EEE,3rd Year,Desktop Computer,5 - 8 hours,2 - 4 hours,2,3-Moderate Time,5-Most Time,5-Most Time,2,3,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,4,4,4,2,4,4,4,4,5,After 1AM,After 8AM,Yes,4:30:00 PM,5:30:00 PM,3.25–3.49
8/25/2026 14:01:12,CSE,4th Year,Smartphone,More than  8 hours,Less than 1 hour,5-Most Time,4,5-Most Time,2,2,4,3-Moderately,5-Mostly Dependent on AI,4,2,4,5,4,4,4,5,4,5,After 1AM,6AM-7AM,Yes,3:15:00 PM,5:15:00 PM,3.25–3.49
8/25/2026 14:04:22,CSE,4th Year,Smartphone,More than  8 hours,Less than 1 hour,4,4,5-Most Time,3-Moderate Time,2,4,5-Mostly Dependent on AI,4,4,2,3-Moderately,4,3,4,4,5,4,4,After 1AM,After 8AM,Yes,4:00:00 PM,6:00:00 PM,Below 3.00
8/25/2026 14:05:53,CSE,4th Year,Laptop,2 - 5 hours,Less than 1 hour,3-Moderate Time,2,4,3-Moderate Time,4,4,3-Moderately,3-Moderately,4,3-Moderately,3-Moderately,5,4,3,3,5,5,5,After 1AM,After 8AM,No,,,3.25–3.49
8/25/2026 14:12:43,IEM,2nd Year,Laptop,More than  8 hours,Less than 1 hour,2,3-Moderate Time,3-Moderate Time,2,2,4,4,5-Mostly Dependent on AI,3-Moderately,2,5-Mostly Dependent on AI,4,3,4,3,4,3,4,12AM-1AM,6AM-7AM,Yes,4:45:00 PM,6:45:00 PM,3.50–3.74
8/25/2026 14:17:03,CSE,2nd Year,Laptop,More than  8 hours,4 - 6 hours,2,1-Minimum Time,2,2,3-Moderate Time,4,4,4,2,4,3-Moderately,2,2,2,1,3,4,2,After 1AM,7AM-8AM,No,,,3.50–3.74
8/25/2026 14:20:20,ME,1st Year,Smartphone,5 - 8 hours,2 - 4 hours,3-Moderate Time,5-Most Time,2,2,3-Moderate Time,3,4,4,2,3-Moderately,2,2,4,3,4,5,3,5,12AM-1AM,6AM-7AM,No,,,3.25–3.49
8/25/2026 14:28:42,CSE,2nd Year,Smartphone,More than  8 hours,Less than 1 hour,5-Most Time,4,2,2,2,4,3-Moderately,4,5-Mostly Dependent on AI,1-Occasionally,4,5,5,4,5,5,4,5,After 1AM,6AM-7AM,Yes,3:15:00 PM,4:45:00 PM,Below 3.00
8/25/2026 14:40:06,ME,3rd Year,Smartphone,More than  8 hours,Less than 1 hour,4,5-Most Time,5-Most Time,3-Moderate Time,4,4,4,5-Mostly Dependent on AI,4,3-Moderately,3-Moderately,4,3,5,5,5,5,4,12AM-1AM,After 8AM,Yes,4:45:00 PM,5:45:00 PM,3.00–3.24
8/25/2026 14:42:35,CSE,2nd Year,Laptop,5 - 8 hours,Less than 1 hour,4,4,4,3-Moderate Time,2,3,4,5-Mostly Dependent on AI,4,2,2,5,5,3,5,5,5,5,12AM-1AM,7AM-8AM,No,,,3.00–3.24
8/25/2026 14:44:41,BME,3rd Year,Laptop,Less than 2 hour,Less than 1 hour,1-Minimum Time,1-Minimum Time,3-Moderate Time,2,3-Moderate Time,4,4,3-Moderately,3-Moderately,5-Mostly Dependent on AI,4,3,4,2,2,5,4,2,12AM-1AM,After 8AM,No,,,3.50–3.74
8/25/2026 14:46:18,BME,1st Year,Smartphone,More than  8 hours,Less than 1 hour,4,5-Most Time,3-Moderate Time,2,1-Minimum Time,5,4,4,4,3-Moderately,5-Mostly Dependent on AI,5,4,3,3,5,4,5,12AM-1AM,7AM-8AM,Yes,5:30:00 PM,7:00:00 PM,Below 3.00
8/25/2026 14:48:23,CSE,3rd Year,Laptop,More than  8 hours,4 - 6 hours,2,2,4,2,3-Moderate Time,5,2,5-Mostly Dependent on AI,4,5-Mostly Dependent on AI,4,2,2,3,1,3,3,3,11PM-12AM,6AM-7AM,No,,,3.75–4.00
8/25/2026 14:48:48,CSE,1st Year,Desktop Computer,More than  8 hours,2 - 4 hours,3-Moderate Time,2,3-Moderate Time,3-Moderate Time,3-Moderate Time,4,4,4,4,2,4,4,4,3,3,4,4,5,11PM-12AM,6AM-7AM,No,,,3.00–3.24
8/25/2026 14:56:47,CSE,2nd Year,Smartphone,More than  8 hours,4 - 6 hours,2,1-Minimum Time,2,1-Minimum Time,3-Moderate Time,4,3-Moderately,5-Mostly Dependent on AI,2,4,5-Mostly Dependent on AI,3,2,2,1,4,2,3,12AM-1AM,6AM-7AM,No,,,3.75–4.00
8/25/2026 15:17:53,CSE,1st Year,Laptop,5 - 8 hours,4 - 6 hours,1-Minimum Time,4,5-Most Time,2,2,5,4,3-Moderately,4,3-Moderately,3-Moderately,2,3,3,2,4,2,4,12AM-1AM,6AM-7AM,Yes,5:00:00 PM,6:00:00 PM,3.75–4.00
8/25/2026 15:21:54,ECE,1st Year,Smartphone,5 - 8 hours,4 - 6 hours,4,2,3-Moderate Time,2,3-Moderate Time,3,3-Moderately,5-Mostly Dependent on AI,2,4,4,3,4,2,2,4,4,4,11PM-12AM,5AM-6AM,Yes,4:30:00 PM,5:15:00 PM,3.50–3.74
8/25/2026 15:40:17,ME,3rd Year,Desktop Computer,5 - 8 hours,4 - 6 hours,4,4,4,2,3-Moderate Time,4,3-Moderately,4,4,2,4,1,5,4,3,4,3,3,11PM-12AM,7AM-8AM,No,,,3.25–3.49
8/25/2026 15:45:35,MSE,4th Year,Smartphone,5 - 8 hours,4 - 6 hours,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,4,4,4,4,5-Mostly Dependent on AI,3-Moderately,4,3,2,4,3,4,1,4,11PM-12AM,6AM-7AM,Yes,3:45:00 PM,5:00:00 PM,3.25–3.49
8/25/2026 15:53:54,CSE,1st Year,Laptop,More than  8 hours,2 - 4 hours,4,4,5-Most Time,2,2,5,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,4,2,5,3,3,3,3,3,11PM-12AM,6AM-7AM,No,,,3.50–3.74
8/25/2026 16:24:51,CSE,2nd Year,Smartphone,More than  8 hours,Less than 1 hour,4,5-Most Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,4,3-Moderately,4,4,2,3-Moderately,2,3,3,4,4,4,4,12AM-1AM,7AM-8AM,Yes,3:00:00 PM,4:30:00 PM,Below 3.00
8/25/2026 16:37:41,CSE,1st Year,Laptop,More than  8 hours,4 - 6 hours,4,4,3-Moderate Time,2,3-Moderate Time,5,4,5-Mostly Dependent on AI,4,3-Moderately,4,4,3,3,3,4,4,5,12AM-1AM,6AM-7AM,Yes,5:15:00 PM,6:00:00 PM,3.75–4.00
8/25/2026 16:51:14,ME,1st Year,Laptop,More than  8 hours,Less than 1 hour,3-Moderate Time,3-Moderate Time,4,5-Most Time,3-Moderate Time,3,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,2,4,5,5,5,5,4,5,After 1AM,6AM-7AM,Yes,3:15:00 PM,4:15:00 PM,3.00–3.24
8/25/2026 17:45:45,ME,3rd Year,Smartphone,More than  8 hours,More than 7 hours,2,3-Moderate Time,2,3-Moderate Time,2,5,3-Moderately,2,4,4,3-Moderately,1,2,3,2,3,3,3,11PM-12AM,6AM-7AM,Yes,4:45:00 PM,6:30:00 PM,3.50–3.74
8/25/2026 18:37:19,CSE,2nd Year,Laptop,5 - 8 hours,Less than 1 hour,5-Most Time,4,3-Moderate Time,3-Moderate Time,3-Moderate Time,2,2,4,5-Mostly Dependent on AI,2,4,4,4,4,4,4,5,5,12AM-1AM,6AM-7AM,No,,,3.50–3.74
8/25/2026 19:03:48,CSE,2nd Year,Laptop,5 - 8 hours,4 - 6 hours,3-Moderate Time,3-Moderate Time,3-Moderate Time,2,3-Moderate Time,5,4,5-Mostly Dependent on AI,4,2,2,3,1,3,3,4,3,4,12AM-1AM,6AM-7AM,Yes,4:45:00 PM,6:30:00 PM,3.25–3.49
8/25/2026 19:04:29,CSE,2nd Year,Tablet / iPad,2 - 5 hours,2 - 4 hours,3-Moderate Time,4,2,3-Moderate Time,2,5,4,3-Moderately,3-Moderately,2,2,2,5,4,5,4,3,4,After 1AM,7AM-8AM,Yes,3:15:00 PM,5:00:00 PM,3.25–3.49
8/25/2026 19:07:22,CSE,2nd Year,Smartphone,5 - 8 hours,Less than 1 hour,4,3-Moderate Time,2,2,2,5,5-Mostly Dependent on AI,4,3-Moderately,1-Occasionally,3-Moderately,3,3,3,2,4,1,3,After 1AM,6AM-7AM,No,,,3.25–3.49
8/25/2026 19:07:52,CSE,2nd Year,Tablet / iPad,More than  8 hours,4 - 6 hours,3-Moderate Time,2,2,1-Minimum Time,3-Moderate Time,4,5-Mostly Dependent on AI,4,4,4,5-Mostly Dependent on AI,2,3,2,3,4,3,3,11PM-12AM,6AM-7AM,No,,,3.75–4.00
8/25/2026 19:13:15,EEE,4th Year,Desktop Computer,5 - 8 hours,2 - 4 hours,2,3-Moderate Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,4,4,3-Moderately,3-Moderately,3-Moderately,3-Moderately,2,4,4,4,4,4,5,After 1AM,6AM-7AM,No,,,3.25–3.49
8/25/2026 19:18:23,CE,4th Year,Laptop,5 - 8 hours,4 - 6 hours,4,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,4,4,2,4,2,4,2,2,5,4,4,3,4,11PM-12AM,5AM-6AM,Yes,4:00:00 PM,5:45:00 PM,3.00–3.24
8/25/2026 19:18:44,ME,2nd Year,Smartphone,More than  8 hours,Less than 1 hour,4,4,5-Most Time,2,2,4,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,3-Moderately,4,4,4,5,4,5,5,After 1AM,7AM-8AM,Yes,4:30:00 PM,5:15:00 PM,3.00–3.24
8/25/2026 19:24:53,EEE,1st Year,Smartphone,More than  8 hours,4 - 6 hours,1-Minimum Time,2,2,1-Minimum Time,3-Moderate Time,4,3-Moderately,3-Moderately,4,5-Mostly Dependent on AI,4,1,2,2,2,4,3,4,12AM-1AM,6AM-7AM,Yes,3:00:00 PM,4:45:00 PM,3.50–3.74
8/25/2026 19:30:30,CSE,2nd Year,Tablet / iPad,2 - 5 hours,2 - 4 hours,5-Most Time,5-Most Time,5-Most Time,2,5-Most Time,4,4,4,4,2,3-Moderately,4,4,3,4,1,4,5,11PM-12AM,5AM-6AM,Yes,4:00:00 PM,5:15:00 PM,3.00–3.24
8/25/2026 19:30:34,ECE,4th Year,Laptop,2 - 5 hours,2 - 4 hours,2,3-Moderate Time,1-Minimum Time,1-Minimum Time,3-Moderate Time,3,3-Moderately,2,1-Occasionally,2,4,1,2,1,2,2,2,1,11PM-12AM,5AM-6AM,No,,,3.75–4.00
8/25/2026 19:34:23,CSE,1st Year,Laptop,2 - 5 hours,Less than 1 hour,2,2,3-Moderate Time,2,4,4,5-Mostly Dependent on AI,4,5-Mostly Dependent on AI,1-Occasionally,3-Moderately,4,3,5,4,3,3,3,11PM-12AM,6AM-7AM,Yes,4:45:00 PM,6:15:00 PM,Below 3.00
8/25/2026 19:39:33,EEE,3rd Year,Tablet / iPad,More than  8 hours,Less than 1 hour,5-Most Time,5-Most Time,4,3-Moderate Time,3-Moderate Time,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,4,3,5,4,4,5,4,4,12AM-1AM,7AM-8AM,Yes,4:15:00 PM,6:15:00 PM,Below 3.00
8/25/2026 20:13:59,ME,3rd Year,Desktop Computer,More than  8 hours,Less than 1 hour,3-Moderate Time,4,3-Moderate Time,5-Most Time,4,4,3-Moderately,4,3-Moderately,5-Mostly Dependent on AI,2,4,4,4,4,5,5,5,After 1AM,7AM-8AM,Yes,4:15:00 PM,6:15:00 PM,Below 3.00
8/25/2026 20:14:21,CSE,1st Year,Laptop,5 - 8 hours,2 - 4 hours,3-Moderate Time,4,3-Moderate Time,4,3-Moderate Time,4,4,5-Mostly Dependent on AI,2,2,3-Moderately,4,3,2,3,3,2,5,11PM-12AM,After 8AM,No,,,3.50–3.74
8/25/2026 20:18:27,ME,2nd Year,Smartphone,5 - 8 hours,Less than 1 hour,4,4,3-Moderate Time,2,2,4,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,2,5,5,5,5,4,3,4,After 1AM,After 8AM,No,,,3.00–3.24
8/25/2026 20:20:45,EEE,1st Year,Laptop,5 - 8 hours,4 - 6 hours,3-Moderate Time,3-Moderate Time,2,1-Minimum Time,3-Moderate Time,5,5-Mostly Dependent on AI,4,4,4,4,3,2,1,3,4,1,4,12AM-1AM,7AM-8AM,No,,,3.00–3.24
8/25/2026 20:23:12,CSE,1st Year,Laptop,5 - 8 hours,4 - 6 hours,2,2,4,2,4,3,5-Mostly Dependent on AI,3-Moderately,3-Moderately,3-Moderately,5-Mostly Dependent on AI,1,1,2,2,3,3,4,11PM-12AM,6AM-7AM,No,,,3.50–3.74
8/25/2026 20:24:41,CSE,2nd Year,Laptop,More than  8 hours,4 - 6 hours,2,1-Minimum Time,3-Moderate Time,1-Minimum Time,4,5,5-Mostly Dependent on AI,3-Moderately,4,2,3-Moderately,1,2,2,2,2,2,3,11PM-12AM,7AM-8AM,No,,,3.25–3.49
8/25/2026 20:25:01,CSE,2nd Year,Laptop,2 - 5 hours,4 - 6 hours,2,2,2,3-Moderate Time,3-Moderate Time,4,4,3-Moderately,3-Moderately,3-Moderately,2,3,3,1,1,2,2,5,11PM-12AM,6AM-7AM,No,,,3.75–4.00
8/25/2026 20:33:41,CSE,2nd Year,Laptop,More than  8 hours,More than 7 hours,2,2,2,2,4,5,5-Mostly Dependent on AI,3-Moderately,4,3-Moderately,4,2,2,2,4,3,2,3,12AM-1AM,6AM-7AM,No,,,3.25–3.49
8/25/2026 20:43:11,CSE,1st Year,Smartphone,2 - 5 hours,Less than 1 hour,2,1-Minimum Time,2,3-Moderate Time,3-Moderate Time,3,3-Moderately,3-Moderately,4,2,3-Moderately,1,1,1,3,1,1,1,10PM-11PM,5AM-6AM,Yes,3:15:00 PM,5:15:00 PM,3.75–4.00
8/25/2026 20:43:26,CSE,2nd Year,Smartphone,More than  8 hours,Less than 1 hour,4,4,3-Moderate Time,2,2,4,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,1-Occasionally,4,3,3,4,4,4,5,3,After 1AM,7AM-8AM,Yes,3:15:00 PM,5:00:00 PM,Below 3.00
8/25/2026 20:45:55,CSE,2nd Year,Laptop,2 - 5 hours,2 - 4 hours,3-Moderate Time,4,5-Most Time,4,2,3,3-Moderately,3-Moderately,4,1-Occasionally,3-Moderately,4,3,2,4,2,3,4,After 1AM,7AM-8AM,Yes,4:30:00 PM,6:15:00 PM,3.50–3.74
8/25/2026 20:49:03,ESE,1st Year,Laptop,More than  8 hours,4 - 6 hours,2,2,3-Moderate Time,1-Minimum Time,4,4,4,4,4,4,5-Mostly Dependent on AI,3,1,4,1,4,3,2,11PM-12AM,5AM-6AM,Yes,3:15:00 PM,5:15:00 PM,3.75–4.00
8/25/2026 20:54:14,CE,2nd Year,Smartphone,5 - 8 hours,2 - 4 hours,5-Most Time,4,4,3-Moderate Time,4,4,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,5-Mostly Dependent on AI,5,5,4,4,5,3,5,After 1AM,7AM-8AM,Yes,4:15:00 PM,6:15:00 PM,Below 3.00
8/25/2026 20:54:59,CSE,2nd Year,Desktop Computer,More than  8 hours,2 - 4 hours,2,2,3-Moderate Time,3-Moderate Time,4,5,4,2,3-Moderately,4,4,3,4,3,3,3,2,3,12AM-1AM,6AM-7AM,Yes,5:30:00 PM,7:00:00 PM,3.50–3.74
8/25/2026 20:59:42,CSE,2nd Year,Laptop,5 - 8 hours,2 - 4 hours,4,4,5-Most Time,3-Moderate Time,4,3,4,5-Mostly Dependent on AI,3-Moderately,2,3-Moderately,5,5,4,4,5,5,4,After 1AM,After 8AM,No,,,Below 3.00
8/25/2026 21:00:27,CSE,3rd Year,Desktop Computer,More than  8 hours,2 - 4 hours,2,3-Moderate Time,4,2,3-Moderate Time,4,4,3-Moderately,4,4,4,3,5,3,2,4,3,4,After 1AM,6AM-7AM,No,,,Below 3.00
8/25/2026 21:00:49,CSE,1st Year,Laptop,More than  8 hours,2 - 4 hours,4,4,3-Moderate Time,1-Minimum Time,1-Minimum Time,4,5-Mostly Dependent on AI,3-Moderately,4,2,3-Moderately,4,3,3,3,4,3,4,12AM-1AM,7AM-8AM,Yes,5:00:00 PM,6:30:00 PM,3.50–3.74
8/25/2026 21:00:52,CSE,2nd Year,Smartphone,More than  8 hours,2 - 4 hours,4,3-Moderate Time,1-Minimum Time,1-Minimum Time,2,4,2,3-Moderately,2,4,4,2,2,1,2,4,3,3,11PM-12AM,6AM-7AM,No,,,3.75–4.00
8/25/2026 21:05:25,CE,4th Year,Desktop Computer,2 - 5 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,3-Moderate Time,5-Most Time,4,5,2,4,5-Mostly Dependent on AI,4,4,4,5,3,3,5,3,5,After 1AM,After 8AM,Yes,3:00:00 PM,4:30:00 PM,3.25–3.49
8/25/2026 21:08:24,CSE,1st Year,Laptop,5 - 8 hours,4 - 6 hours,5-Most Time,4,4,4,1-Minimum Time,4,4,4,5-Mostly Dependent on AI,3-Moderately,3-Moderately,4,4,4,5,4,5,4,After 1AM,6AM-7AM,No,,,3.50–3.74
8/25/2026 21:11:03,CE,2nd Year,Laptop,More than  8 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,4,1-Minimum Time,5-Most Time,4,2,3-Moderately,4,3-Moderately,2,4,2,3,4,3,2,4,After 1AM,6AM-7AM,Yes,4:00:00 PM,4:45:00 PM,3.00–3.24
8/25/2026 21:12:00,CSE,2nd Year,Laptop,More than  8 hours,2 - 4 hours,3-Moderate Time,4,4,1-Minimum Time,5-Most Time,4,4,5-Mostly Dependent on AI,4,3-Moderately,4,2,3,3,3,3,4,5,12AM-1AM,7AM-8AM,Yes,4:15:00 PM,5:45:00 PM,3.00–3.24
8/25/2026 21:14:14,CSE,1st Year,Smartphone,5 - 8 hours,4 - 6 hours,5-Most Time,4,4,2,3-Moderate Time,5,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,3-Moderately,3,4,5,5,5,5,4,After 1AM,After 8AM,Yes,3:15:00 PM,4:15:00 PM,3.00–3.24
8/25/2026 21:15:07,CSE,2nd Year,Smartphone,5 - 8 hours,Less than 1 hour,4,4,4,3-Moderate Time,3-Moderate Time,4,1-Occasionally,3-Moderately,4,3-Moderately,4,5,4,4,4,5,4,5,After 1AM,After 8AM,Yes,3:15:00 PM,4:45:00 PM,3.25–3.49
8/25/2026 21:16:20,CSE,1st Year,Laptop,More than  8 hours,More than 7 hours,1-Minimum Time,2,2,2,5-Most Time,5,5-Mostly Dependent on AI,3-Moderately,4,2,4,3,3,3,2,3,3,3,12AM-1AM,5AM-6AM,Yes,4:45:00 PM,6:30:00 PM,3.50–3.74
8/25/2026 21:20:09,EEE,4th Year,Laptop,5 - 8 hours,Less than 1 hour,3-Moderate Time,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,3-Moderately,4,5,4,3,4,5,5,After 1AM,7AM-8AM,Yes,4:45:00 PM,5:30:00 PM,3.25–3.49
8/25/2026 21:22:47,CSE,1st Year,Smartphone,5 - 8 hours,2 - 4 hours,5-Most Time,5-Most Time,5-Most Time,3-Moderate Time,2,4,4,4,4,1-Occasionally,3-Moderately,5,4,4,4,5,4,4,After 1AM,After 8AM,Yes,3:15:00 PM,4:30:00 PM,Below 3.00
8/25/2026 21:25:24,CSE,1st Year,Desktop Computer,More than  8 hours,4 - 6 hours,2,3-Moderate Time,3-Moderate Time,1-Minimum Time,3-Moderate Time,3,3-Moderately,5-Mostly Dependent on AI,3-Moderately,2,4,2,2,3,2,2,2,3,11PM-12AM,7AM-8AM,Yes,5:00:00 PM,5:45:00 PM,3.50–3.74
8/25/2026 21:26:47,CSE,2nd Year,Laptop,5 - 8 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,4,5,5-Mostly Dependent on AI,3-Moderately,4,3-Moderately,4,4,3,3,3,2,3,4,12AM-1AM,6AM-7AM,Yes,4:30:00 PM,5:30:00 PM,3.25–3.49
8/25/2026 21:33:06,CSE,2nd Year,Laptop,More than  8 hours,4 - 6 hours,4,3-Moderate Time,2,1-Minimum Time,3-Moderate Time,4,4,5-Mostly Dependent on AI,4,1-Occasionally,4,2,3,2,3,5,3,4,11PM-12AM,After 8AM,No,,,3.50–3.74
